Subject Identifier,Subject Name,Type,Belonging Major,Credits
SP1011,Soft Skills,general,NONE,2
MT1007,Linear Algebra,general,NONE,3
MT1003,Calculus 1,general,NONE,4
PH1003,Physics 1,general,NONE,4
ME1001,Introduction to Engineering,specialized,Mechanical Engineering,3
MT1005,Calculus 2,general,NONE,4
PH1005,Physics 2,general,NONE,4
PH1007,Physics Lab.,general,NONE,1
AS1003,Engineering Mechanics,general,NONE,3
CI1003,Engineering Drawing,general,NONE,3
ME1005,General Mechanical Engineering Workshop 1,specialized,Mechanical Engineering,1
CI2001,Strength of Materials,general,NONE,3
ME2003,Kinematics and Dynamics of Machines,specialized,Mechanical Engineering,3
CH1003,General Chemistry,general,NONE,3
ME2021,Mechanical Engineering Drawing ,specialized,Mechanical Engineering,3
ME2001,General Mechanical Engineering Workshop 2,specialized,Mechanical Engineering,1
CI2003,Fluid Mechanics,general,NONE,3
SP1007,Introduction to VN Law Systems,general,NONE,2
ME2013,Thermodynamics and Heat Transfer,specialized,Mechanical Engineering,3
ME2015,Materials and Heat Treatment,specialized,Mechanical Engineering,3
ME2007,Machine Elements,specialized,Mechanical Engineering,3
CO1003,Introduction to Information Technology,general,NONE,3
ME2005,Electrical and Electronic Equipment for Industrial Machinery,specialized,Mechanical Engineering,4
ME3003,Tolerance and Measurement Engineering ,specialized,Mechanical Engineering,3
MT1009,Numerical Analysis,general,NONE,3
SP1003,Basic principles of Marxism-Leninism,general,NONE,5
ME2023,Technical Internship,specialized,Mechanical Engineering,1
ME2071,Manufacturing Processes,specialized,Mechanical Engineering,3
ME2011,Project - Machine Design,specialized,Mechanical Engineering,1
ME3001,Hydraulic and Pneumatic Engineering ,specialized,Mechanical Engineering,3
SP1005,HoChiMinh Ideology,general,NONE,2
ME2009,Control System Technology,specialized,Mechanical Engineering,3
MT2001,Probability and Statistics,general,NONE,3
ME2019,Environment and Human,specialized,Mechanical Engineering,3
ME3031,Manufacturing Engineering 1,specialized,Mechanical Engineering,3
ME3033,Manufacturing Engineering 2,specialized,Mechanical Engineering,3
SP1009,Revolutionary policies of The Vietnam communist party,general,NONE,3
ME3201,Manufacturing Engineering 3,specialized,Mechanical Engineering,3
ME4479,Modeling and Simulation,specialized,Mechanical Engineering,3
ME3215,Optimization and Experimental Design,specialized,Mechanical Engineering,3
ME4045,Specialized Project,specialized,Mechanical Engineering,1
